,Unnamed: 0.1,start,end,strand,utr5,genes,utrs,Osize,newRPK
27,lptD-surA-pdxA-rsmA-apaGH,50379,57252,1,lptD-,"['lptD', 'surA', 'pdxA', 'rsmA', 'apaG', 'apaH']","['lptD-', 'lptD-surA', 'rsmA-apaG', 'apaG-apaH']",6,59.203736539533516
28,djlA,57260,58178,0,djlA - ,['djlA'],['djlA-'],1,16.065222002929673
29,yabPQ,58473,59278,0,,"['yabP', 'yabQ']",,2,1.541620374106349
30,hepA-rluA,59686,63263,1,,"['hepA', 'rluA']",['hepA-rluA'],2,25.797369768121854
31,polB,63428,65779,1,,['polB'],,1,12.306357549299497
32,araBAD,65854,70047,1,,"['araB', 'araA', 'araD']","['araB-araA', 'araA-araD']",3,4.162478406374257
33,araC,70386,71264,0,,['araC'],,1,15.328819240702233
34,yabI,71270,72114,0,yabI - ,['yabI'],['yabI-'],1,36.330575178754586
35,sgrR-sroA-tbpA-thiPQ,72228,77298,1,,"['sgrR', 'sroA', 'tbpA', 'thiP', 'thiQ']","['sgrR-sroA', 'sroA-tbpA']",5,36.48030287619954
36,sgrST-setA,77366,78798,0,,"['sgrS', 'sgrT', 'setA']",['sgrT-setA'],3,25.879224493394286
37,leuLABCD,78847,83734,1,leuL-,"['leuL', 'leuA', 'leuB', 'leuC', 'leuD']","['leuL-', 'leuL-leuA', 'leuB-leuC', 'leuC-leuD']",5,15.11453435957622
38,leuO,84303,85311,0,leuO - ,['leuO'],['leuO-'],1,0.07897138037218834
39,ilvIH,85598,87847,0,ilvI - ,"['ilvI', 'ilvH']","['ilvI-', 'ilvI-ilvH']",2,2.213080919951103
40,cra,88027,89031,0,,['cra'],,1,19.293518421644684
41,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,89039,107473,0,mraZ - ,"['mraZ', 'rsmH', 'ftsL', 'ftsI', 'murE', 'murF', 'mraY', 'murD', 'ftsW', 'murG', 'murC', 'ddlB', 'ftsQ', 'ftsA', 'ftsZ', 'lpxC']","['mraZ-', 'mraZ-rsmH', 'ftsL-ftsI', 'mraY-murD', 'murG-murC', 'ddlB-ftsQ', 'ftsA-ftsZ', 'ftsZ-lpxC']",16,106.16053387067944
42,secMA-mutT,107602,111432,0,secM - ,"['secM', 'secA', 'mutT']","['secM-', 'secM-secA', 'secA-mutT']",3,23.4019447952124
43,coaE-zapD-yacG,111648,113218,1,,"['coaE', 'zapD', 'yacG']",['zapD-yacG'],3,25.913393240352175
44,guaC,113393,114486,0,guaC - ,['guaC'],['guaC-'],1,33.22134904713914
45,ppdD-hofBC,114521,117548,1,,"['ppdD', 'hofB', 'hofC']",['ppdD-hofB'],3,1.9162966618766604
46,nadC,117751,118644,1,,['nadC'],,1,7.271921926958259
47,ampDE,118732,120134,0,,"['ampD', 'ampE']",,2,21.338402405269562
48,aroP,120177,121675,1,aroP-,['aroP'],['aroP-'],1,14.250828658025435
49,pdhR-aceEF-lpd,122033,129335,0,pdhR - ,"['pdhR', 'aceE', 'aceF', 'lpd']","['pdhR-', 'pdhR-aceE', 'aceE-aceF', 'aceF-lpd']",4,56.269168630213464
50,tp2,122696,122859,1,tp2-,['tp2'],['tp2-'],1,0.09238279791357222
51,yacH,129406,131259,1,,['yacH'],,1,0.29451675837974295
52,acnB,131614,134211,0,,['acnB'],,1,280.6621335541153
53,yacL,134338,134749,0,yacL - ,['yacL'],['yacL-'],1,29.566090706699242
54,yacC-speED,134787,136939,1,yacC-,"['yacC', 'speE', 'speD']","['yacC-', 'yacC-speE', 'speE-speD']",3,13.43261157221193
55,cueO,137040,138632,0,cueO - ,['cueO'],['cueO-'],1,9.08206107852124
56,gcd,138834,141224,1,,['gcd'],,1,8.258220014324596
57,hpt,141359,141966,0,hpt - ,['hpt'],['hpt-'],1,35.95646879946854
58,can,142007,142702,1,can-,['can'],['can-'],1,52.88492555798336
59,yadGH,142778,144471,0,,"['yadG', 'yadH']",,2,6.256420442531852
60,yadI,144576,145016,0,,['yadI'],,1,6.743599517559071
61,yadE,145080,146309,0,,['yadE'],,1,1.57805067576615
62,panD,146313,146754,1,panD-,['panD'],['panD-'],1,127.0882979485862
63,yadD,146967,147869,0,,['yadD'],,1,1.0597779538816023
64,panBC,147943,149629,1,panB-,"['panB', 'panC']","['panB-', 'panB-panC']",2,69.39996717785513
65,yadMLKC,149714,152811,1,,"['yadM', 'yadL', 'yadK', 'yadC']","['yadM-yadL', 'yadL-yadK', 'yadK-yadC']",4,0.34184617242157084
66,yadV-htrE,152828,156200,1,,"['yadV', 'htrE']",['yadV-htrE'],2,0.41989173069361396
67,yadN,156298,156882,1,,['yadN'],,1,0.1828452969850435
68,pcnB-folK,157252,159125,1,,"['pcnB', 'folK']",,2,108.0729687397725
69,sfsA-dksA-gluQ,159185,161485,1,,"['sfsA', 'dksA', 'gluQ']","['sfsA-dksA', 'dksA-gluQ']",3,61.989094546635805
70,ligT,161500,162030,1,,['ligT'],,1,20.65356456502037
71,hrpB,162076,164533,0,hrpB - ,['hrpB'],['hrpB-'],1,19.777654438364355
72,mrcB,164657,167263,0,mrcB - ,['mrcB'],['mrcB-'],1,41.13982742306886
73,fhuACDB,167483,173443,0,,"['fhuA', 'fhuC', 'fhuD', 'fhuB']",['fhuA-fhuC'],4,25.465275529864215
74,hemL,173601,174942,1,hemL-,['hemL'],['hemL-'],1,322.6625923689758
75,clcA,175007,176527,0,clcA - ,['clcA'],['clcA-'],1,22.65768000073322
76,erpA,176557,176953,0,erpA - ,['erpA'],['erpA-'],1,36.065324899711776
77,mtn-btuF-yadS,177000,179180,1,mtn-,"['mtn', 'btuF', 'yadS']","['mtn-', 'btuF-yadS']",3,74.10914444613462
78,dgt,179236,180753,0,,['dgt'],,1,2.154490623031309
79,degP,180835,182307,0,degP - ,['degP'],['degP-'],1,34.71461265978861
80,cdaR,182446,183619,0,cdaR - ,['cdaR'],['cdaR-'],1,7.123293197159987
81,yaeH,183708,184192,1,yaeH-,['yaeH'],['yaeH-'],1,9.004873223828614
82,yaeI,184256,185068,1,,['yaeI'],,1,1.3720803747915427
83,map-glnD-dapD,185122,189620,1,map-,"['map', 'glnD', 'dapD']","['map-', 'map-glnD', 'glnD-dapD']",3,30.97992466233327
84,tff-rpsB-tsf,189638,191707,0,tff - ,"['tff', 'rpsB', 'tsf']","['tff-', 'tff-rpsB', 'rpsB-tsf']",3,207.74828599508976
85,pyrH,191751,192579,0,pyrH - ,['pyrH'],['pyrH-'],1,26.50663867185764
86,frr,192616,193428,0,frr - ,['frr'],['frr-'],1,66.40785871437117
87,dxr,193520,194716,0,,['dxr'],,1,13.72787464628502
88,ispU,194902,195663,0,,['ispU'],,1,36.01501121753629
89,cdsA,195554,196533,0,cdsA - ,['cdsA'],['cdsA-'],1,56.93324562730259
90,rseP,196545,197897,0,,['rseP'],,1,93.21009612934976
91,bamA-hlpA-lpxD-fabZ-lpxAB-rnhB-dnaE,197882,208607,0,bamA - ,"['bamA', 'hlpA', 'lpxD', 'fabZ', 'lpxA', 'lpxB', 'rnhB', 'dnaE']","['bamA-', 'bamA-hlpA', 'hlpA-lpxD', 'lpxD-fabZ', 'fabZ-lpxA', 'rnhB-dnaE']",8,73.64352662738919
92,accA,208620,209579,0,,['accA'],,1,63.23552169063983
93,ldcC,209657,211819,0,ldcC - ,['ldcC'],['ldcC-'],1,1.897150212664227
94,yaeR,211876,212265,0,,['yaeR'],,1,4.103628126355112
95,tilS,212305,213628,0,tilS - ,['tilS'],['tilS-'],1,40.55164967137174
96,yaeP-rof,213677,214196,1,yaeP-,"['yaeP', 'rof']",['yaeP-'],2,19.369105325202813
97,yaeQ-arfB-nlpE,214268,215978,0,yaeQ - ,"['yaeQ', 'arfB', 'nlpE']","['yaeQ-', 'arfB-nlpE']",3,8.291186602530885
98,yaeF,216178,217002,1,,['yaeF'],,1,7.258661631699222
99,proS,217056,218830,1,proS-,['proS'],['proS-'],1,301.4626009844646
100,rcsF-yaeB,218886,220021,1,rcsF-,"['rcsF', 'yaeB']",['rcsF-'],2,32.919245980635544
101,metNIQ,220112,222713,1,metN-,"['metN', 'metI', 'metQ']","['metN-', 'metI-metQ']",3,11.274229075971066
102,gmhB,222805,223407,0,gmhB - ,['gmhB'],['gmhB-'],1,8.53885859376167
103,rrsH-ileV-alaV-rrlH-rrfH,223593,228874,0,rrsH - ,"['rrsH', 'ileV', 'alaV', 'rrlH', 'rrfH']","['rrsH-', 'rrsH-ileV', 'ileV-alaV', 'alaV-rrlH', 'rrlH-rrfH']",5,5672.190931609053
104,aspU,228878,229003,0,aspU - ,['aspU'],['aspU-'],1,200366.20289231543
105,dkgB,229166,229969,0,,['dkgB'],,1,1.2376190151500286
106,yafC,229966,230917,1,yafC-,['yafC'],['yafC-'],1,3.6457357360827145
107,yafDE,231121,232548,0,,"['yafD', 'yafE']",['yafD-yafE'],2,9.815597974645168
108,mltD,232596,233979,1,mltD-,['mltD'],['mltD-'],1,31.915378394279355
109,gloB,234026,234781,1,,['gloB'],,1,1.706934309414312
110,yafS,234784,235537,0,yafS - ,['yafS'],['yafS-'],1,2.5967599046499594
111,rnhA,235534,236040,1,rnhA-,['rnhA'],['rnhA-'],1,4.613765779991962
112,dnaQ,235936,236797,0,dnaQ - ,['dnaQ'],['dnaQ-'],1,2.1477628999937006
113,aspV,236930,237006,0,,['aspV'],,1,1702.9907955693288
114,yafT,237334,238119,0,,['yafT'],,1,0.13423802489874115
115,C0067,238461,238585,0,,['C0067'],,1,0.04595967692310048
116,yafU,238745,239083,1,,['yafU'],,1,0.06376138988347552
117,yafF,239189,239377,0,,['yafF'],,1,0.15914973942055274
118,yafV,239418,240188,1,,['yafV'],,1,40.624917203550815
119,ivy,240332,240815,0,ivy - ,['ivy'],['ivy-'],1,2.1009459750487567
120,fadE,240858,243302,1,,['fadE'],,1,15.257774133195356
121,lpcA,243511,244120,0,lpcA - ,['lpcA'],['lpcA-'],1,31.286331849737685
122,yafJ,244122,245093,0,yafJ - ,['yafJ'],['yafJ-'],1,33.31822859948896
123,yafK,245064,245804,1,,['yafK'],,1,26.767739075173637
124,dinJ-yafQ,245960,246532,1,dinJ-,"['dinJ', 'yafQ']","['dinJ-', 'dinJ-yafQ']",2,7.088695997540528
125,yafL,246711,247460,0,,['yafL'],,1,1.3166388746723448
126,rayT,247636,248133,0,,['rayT'],,1,1.3948320011761484
127,lfhA,248357,250069,1,,['lfhA'],,1,2.935518682377348
128,lafU,250071,250826,0,,['lafU'],,1,0.2427404216550277
129,dinB-yafNOP,250897,253160,0,,"['dinB', 'yafN', 'yafO', 'yafP']","['dinB-yafN', 'yafN-yafO', 'yafO-yafP']",4,3.622824281002626
130,ykfJ-prfH,253466,254201,0,,"['ykfJ', 'prfH']",,2,0.27104014799090087
131,pepD,254258,255815,1,pepD-,['pepD'],['pepD-'],1,64.749514721799
132,gpt,255917,256434,0,gpt - ,['gpt'],['gpt-'],1,29.91817065611435
133,frsA,256500,257770,0,frsA - ,['frsA'],['frsA-'],1,23.394615630662834
134,crl,257809,258229,0,crl - ,['crl'],['crl-'],1,20.348382247785537
135,phoE,258268,259323,1,,['phoE'],,1,0.5628935200650573
136,proBA,259568,261979,0,proB - ,"['proB', 'proA']","['proB-', 'proB-proA']",2,40.50311166233536
137,thrW,262094,262169,0,,['thrW'],,1,65.84456281478639
138,yafY-ykfBF-yafX-ykfGH-yafW-ykfI,262551,265776,1,,"['yafY', 'ykfB', 'ykfF', 'yafX', 'ykfG', 'ykfH', 'yafW', 'ykfI']","['yafY-ykfB', 'ykfB-ykfF', 'ykfF-yafX', 'yafX-ykfG', 'ykfG-ykfH', 'ykfH-yafW', 'yafW-ykfI']",8,1.5488297758605678
139,ykfA-yafZ,266407,268183,1,,"['ykfA', 'yafZ']",['ykfA-yafZ'],2,7.716182823138526
140,perR,268512,269405,1,,['perR'],,1,0.7357335713807748
141,insN-1I-1O-1,269465,271478,0,,"['insN-1', 'insI-1', 'insO-1']",['insI-1-insO-1'],3,1.1146829264805027
142,ykfC,272070,273215,0,,['ykfC'],,1,4.409327217397621
143,insH-1,273324,274340,1,,['insH-1'],,1,30.52591438192392
144,mmuPM,274548,276870,0,,"['mmuP', 'mmuM']",,2,13.204244663919079
145,insAB-2A-2B-2-afuBC,276979,279116,1,insA-2-,"['insA-2', 'insAB-2', 'insB-2', 'afuB', 'afuC']","['insA-2-', 'insB-2-afuB', 'afuB-afuC']",5,3.6659971580555895
146,yagAB-ykgN,279247,281206,1,,"['yagA', 'yagB', 'ykgN']","['yagA-yagB', 'yagB-ykgN']",3,3.4571603757010356
147,yagEF,281501,284391,0,,"['yagE', 'yagF']",['yagE-yagF'],2,61.993745099836886
148,yagGH,284618,287622,0,,"['yagG', 'yagH']",['yagG-yagH'],2,6.342016373651922
149,yagI,287627,288385,1,,['yagI'],,1,71.47681012144785
150,argF,288524,289564,1,argF-,['argF'],['argF-'],1,16.94907879603234
151,insAB-3A-3B-3,289872,290569,1,,"['insA-3', 'insAB-3', 'insB-3']",,3,6.664461511911836
152,yagJ,290723,291454,0,,['yagJ'],,1,0.6151667738676915
153,yagK,291545,292274,1,yagK-,['yagK'],['yagK-'],1,0.8534246940189023
154,yagML,292443,294022,1,,"['yagM', 'yagL']",['yagM-yagL'],2,0.0958910054292775
155,yagN,294362,294843,1,yagN-,['yagN'],['yagN-'],1,3.415316650412803
156,intF,294919,296319,1,,['intF'],,1,1.4398827282821682
157,yagP,296604,297014,1,,['yagP'],,1,1.4125981650410862
158,paoABCD,296993,301796,1,,"['paoA', 'paoB', 'paoC', 'paoD']",['paoC-paoD'],4,2.478054325509591
159,yagU,302180,302828,0,yagU - ,['yagU'],['yagU-'],1,3.3372827149304363
160,ykgJ,303076,303405,1,,['ykgJ'],,1,2.4112694109485258
161,ecpBCDE,303718,309249,1,,"['ecpB', 'ecpC', 'ecpD', 'ecpE']",['ecpB-ecpC'],4,1.6564705484422653
162,ecpA,309307,309894,1,,['ecpA'],,1,1.681014987558772
163,ecpR,309969,310559,1,,['ecpR'],,1,0.2120938134524746
164,ykgL,311335,311562,0,,['ykgL'],,1,0.3935268656810549
165,ykgMO,311597,312000,1,,"['ykgM', 'ykgO']",,2,0.6967858197485253
166,ykgR,312364,312465,1,,['ykgR'],,1,0.16636149334083278
167,eaeH-insE-1EF-1F-1,313580,315676,0,,"['eaeH', 'insE-1', 'insEF-1', 'insF-1']",['eaeH-insE-1'],4,0.8325292442705848
168,ykgA,315673,316359,1,,['ykgA'],,1,0.8493551621704017
169,rclABC,316949,319224,1,,"['rclA', 'rclB', 'rclC']","['rclA-rclB', 'rclB-rclC']",3,0.6707348320362619
170,rclR,319450,320304,0,,['rclR'],,1,1.138503336131718
171,ykgEFG,320831,323676,0,,"['ykgE', 'ykgF', 'ykgG']",['ykgE-ykgF'],3,5.456216551457786
172,ykgH,323919,324587,1,,['ykgH'],,1,0.246700275572371
173,betIBA,324800,328557,1,,"['betI', 'betB', 'betA']","['betI-betB', 'betB-betA']",3,16.744526833579787
174,betT,328686,330719,0,,['betT'],,1,7.755082365434251
175,yahA,331594,332682,0,,['yahA'],,1,0.9884382576408708
176,yahB,332724,333656,1,,['yahB'],,1,12.424288214493625
177,yahC,333748,334245,1,,['yahC'],,1,0.6117101611138251
178,yahDEFG,334503,338966,0,,"['yahD', 'yahE', 'yahF', 'yahG']",['yahD-yahE'],4,0.45224376667522026
179,yahH,339016,339312,0,,['yahH'],,1,0.7751472980275732
180,yahIJ,339388,341730,0,,"['yahI', 'yahJ']",['yahI-yahJ'],2,1.7893381602947624
181,yahK,342041,343156,0,yahK - ,['yahK'],['yahK-'],1,2.627686638197599
182,yahL,343399,344214,0,,['yahL'],,1,0.11356209027706958
183,yahM,344627,344872,0,,['yahM'],,1,62.166622285301614
184,yahN,344889,345560,1,,['yahN'],,1,23.755609600203538
185,yahO,345645,345982,0,yahO - ,['yahO'],['yahO-'],1,1.412679129939554
186,prpR,346080,347666,1,,['prpR'],,1,1.5934253286474598
187,prpBCDE,347905,353815,0,,"['prpB', 'prpC', 'prpD', 'prpE']","['prpB-prpC', 'prpC-prpD', 'prpD-prpE']",4,0.8594212356018235
188,codBA,354145,356677,0,,"['codB', 'codA']",,2,17.98375801466603
189,cynR,357014,357913,1,,['cynR'],,1,9.615694315100134
190,cynTSX,358022,360369,0,,"['cynT', 'cynS', 'cynX']","['cynT-cynS', 'cynS-cynX']",3,1.6174781382750698
191,lacZYA,360472,365528,1,,"['lacZ', 'lacY', 'lacA']","['lacZ-lacY', 'lacY-lacA']",3,43.70179295444742
192,mhpR-lacI,365651,367643,1,,"['mhpR', 'lacI']",['mhpR-lacI'],2,26.56325063791358
193,mhpABCDFE,367834,374104,0,,"['mhpA', 'mhpB', 'mhpC', 'mhpD', 'mhpF', 'mhpE']","['mhpA-mhpB', 'mhpB-mhpC', 'mhpC-mhpD']",6,0.877996052782801
194,mhpT,374200,375893,0,mhpT - ,['mhpT'],['mhpT-'],1,9.673006339867978
195,yaiL,375995,376534,0,,['yaiL'],,1,3.986527983637648
196,frmRAB,376758,379104,1,,"['frmR', 'frmA', 'frmB']","['frmR-frmA', 'frmA-frmB']",3,21.966111745315498
197,yaiXO,379292,380282,1,,"['yaiX', 'yaiO']",['yaiX-yaiO'],2,2.273381247385169
198,insC-1CD-1D-1,380529,381802,0,,"['insC-1', 'insCD-1', 'insD-1']",,3,1.3875715148701893
199,yaiF,381727,382113,1,,['yaiF'],,1,3.482982667660394
200,yaiP,381962,383158,1,,['yaiP'],,1,1.188013453296185
201,yaiS,383282,383839,1,,['yaiS'],,1,0.025884843209905556
202,tauABCD,384455,387869,0,,"['tauA', 'tauB', 'tauC', 'tauD']",['tauA-tauB'],4,0.6546090469156385
203,hemB,387976,388977,1,hemB-,['hemB'],['hemB-'],1,122.95063690475361
204,ykiB,389120,389338,1,,['ykiB'],,1,0.0
205,yaiT,389474,390934,0,,['yaiT'],,1,0.12880387244729627
206,insEF-2E-2F-2,390962,392202,1,insE-2-,"['insE-2', 'insEF-2', 'insF-2']",['insE-2-'],3,3.217922877796725
207,yaiU,392238,393641,0,,['yaiU'],,1,0.63433679583426
208,yaiV,393684,394352,0,,['yaiV'],,1,0.1417965532690721
209,ampH,394353,395603,1,ampH-,['ampH'],['ampH-'],1,61.6214027905088
210,sbmA-yaiW,395862,398189,0,,"['sbmA', 'yaiW']",['sbmA-yaiW'],2,4.0028170236693885
211,yaiY,398248,398556,1,,['yaiY'],,1,2.711123189790885
212,yaiZ,398793,399028,0,yaiZ - ,['yaiZ'],['yaiZ-'],1,14.7657415938003
213,ddlA,399052,400146,1,,['ddlA'],,1,24.11192262939397
214,iraP,400542,400869,0,iraP - ,['iraP'],['iraP-'],1,1.2442855720616823
215,phoA-psiF,400970,402824,0,,"['phoA', 'psiF']",['phoA-psiF'],2,1.4165436548203658
216,adrA,402926,404041,0,,['adrA'],,1,0.5342844249937173
217,proC,404058,404909,1,proC-,['proC'],['proC-'],1,9.889143348851787
218,yaiI,404987,405445,0,,['yaiI'],,1,15.046875203566309
219,aroL-yaiA-aroM,405499,407328,0,aroL - ,"['aroL', 'yaiA', 'aroM']","['aroL-', 'aroL-yaiA', 'yaiA-aroM']",3,4.362151996203756
220,yaiE,407400,407684,0,,['yaiE'],,1,118.59838581619587
221,ykiA,407821,408173,0,ykiA - ,['ykiA'],['ykiA-'],1,0.7318310332506184
222,rdgC,408331,409242,1,,['rdgC'],,1,10.459574977271846
223,mak,409367,410275,0,,['mak'],,1,6.082442015897952
224,araJ,410520,411704,1,,['araJ'],,1,23.674338548423464
225,sbcDC,411830,416175,1,,"['sbcD', 'sbcC']",,2,6.605172502699089
226,phoBR,416365,418407,0,,"['phoB', 'phoR']",['phoB-phoR'],2,4.741228027638094
227,brnQ-proY,418642,421582,0,brnQ - ,"['brnQ', 'proY']","['brnQ-', 'brnQ-proY']",2,43.31038537324403
228,malZ,421741,423555,0,,['malZ'],,1,4.204967148529903
229,acpH,423560,424141,1,,['acpH'],,1,9.921070151047788
230,queA,424208,425304,0,queA - ,['queA'],['queA-'],1,11.922501733627227
231,tgt-yajC-secDF,425278,429699,0,tgt - ,"['tgt', 'yajC', 'secD', 'secF']","['tgt-', 'tgt-yajC', 'yajC-secD', 'secD-secF']",4,63.97863534758931
232,yajD,429828,430175,0,,['yajD'],,1,4.79632456815928
233,tsx,430352,431408,1,tsx-,['tsx'],['tsx-'],1,149.73890767357716
234,yajI,431535,432074,1,,['yajI'],,1,0.867335327947388
235,nrdR-ribDE-nusB-thiL-pgpA,432198,436330,0,nrdR - ,"['nrdR', 'ribD', 'ribE', 'nusB', 'thiL', 'pgpA']","['nrdR-', 'nrdR-ribD', 'ribD-ribE', 'ribE-nusB', 'nusB-thiL']",6,28.30158732894937
236,xseB-ispA-dxs-yajO,436384,440566,1,,"['xseB', 'ispA', 'dxs', 'yajO']","['ispA-dxs', 'dxs-yajO']",4,64.36515439225528
237,thiI,440692,442220,0,thiI - ,['thiI'],['thiI-'],1,15.642686781243105
238,panE-yajL,442274,443784,1,panE-,"['panE', 'yajL']",['panE-'],2,30.358310467693574
239,yajQ,443823,444397,0,yajQ - ,['yajQ'],['yajQ-'],1,17.14300823004386
240,yajR,444525,445889,1,,['yajR'],,1,41.20678865177908
241,cyoABCDE,446038,450876,1,cyoA-,"['cyoA', 'cyoB', 'cyoC', 'cyoD', 'cyoE']","['cyoA-', 'cyoA-cyoB', 'cyoD-cyoE']",5,1398.1193000202184
242,ampG,451293,452768,1,,['ampG'],,1,111.81979643607701
243,yajG,452812,453433,1,yajG-,['yajG'],['yajG-'],1,73.79679689583321
244,bolA,453574,454012,0,bolA - ,['bolA'],['bolA-'],1,10.09573157590469
245,tig,454216,455654,0,tig - ,['tig'],['tig-'],1,73.39680324367149
246,clpPX-lon,455774,460465,0,clpP - ,"['clpP', 'clpX', 'lon']","['clpP-', 'clpP-clpX', 'clpX-lon']",3,41.415501029816866
247,sraA,457951,458007,1,,['sraA'],,1,1.3378757938781884
248,hupB,460553,460946,0,hupB - ,['hupB'],['hupB-'],1,186.06938131467808
249,ppiD,461074,463009,0,ppiD - ,['ppiD'],['ppiD-'],1,16.43789259971401
250,ybaV,463160,463531,0,,['ybaV'],,1,1.051158359559941
251,fadM,463625,464023,0,,['fadM'],,1,0.39589733315485304
252,queC,464075,464770,1,,['queC'],,1,48.89173752108742
253,ybaE,464835,466535,1,,['ybaE'],,1,3.9740584982906224
254,cof,466605,467453,0,cof - ,['cof'],['cof-'],1,6.815039283279038
255,ybaO,467580,468064,0,ybaO - ,['ybaO'],['ybaO-'],1,4.25746240276035
256,mdlAB,468094,471640,0,,"['mdlA', 'mdlB']",,2,17.11939525685454
257,glnK-amtB,471780,473475,0,glnK - ,"['glnK', 'amtB']","['glnK-', 'glnK-amtB']",2,6.445096275065031
258,tesB,473524,474384,1,,['tesB'],,1,47.857222106465755
259,ybaY,474602,475174,0,,['ybaY'],,1,4.408552843238707
260,atl,475205,475594,1,,['atl'],,1,11.838326522926824
261,ffs,475671,475784,0,,['ffs'],,1,44293.21171637256
262,ybaA,475895,476248,0,,['ybaA'],,1,4.242683418134269
263,ylaB,476290,477865,1,ylaB-,['ylaB'],['ylaB-'],1,4.664376203442078
264,ylaC,478004,478474,1,,['ylaC'],,1,18.64156977428287
265,maa,478590,479141,1,,['maa'],,1,11.928859605065005
266,tomB-hha,479313,480018,1,tomB-,"['tomB', 'hha']","['tomB-', 'tomB-hha']",2,4.472984900754721
267,acrAB,480477,484886,1,acrA-,"['acrA', 'acrB']","['acrA-', 'acrA-acrB']",2,166.21570203926655
268,acrR,484939,485631,0,acrR - ,['acrR'],['acrR-'],1,0.6083366239454724
269,mscK,485759,489121,0,,['mscK'],,1,10.749023892837725
270,priC-ybaM,489333,490035,1,,"['priC', 'ybaM']",['priC-ybaM'],2,23.662226364109426
271,ybaN,490105,490482,0,,['ybaN'],,1,7.2916034727843435
272,apt,490635,491186,0,,['apt'],,1,115.95441487408057
273,dnaX,491278,493246,0,dnaX - ,['dnaX'],['dnaX-'],1,45.49009259138073
274,ybaB-recR,493241,494233,0,ybaB - ,"['ybaB', 'recR']",['ybaB-'],2,90.42458909769802
275,htpG,494299,496217,0,htpG - ,['htpG'],['htpG-'],1,47.391870429407746
276,adk,496356,497042,0,adk - ,['adk'],['adk-'],1,15.300652019760909
277,hemH,497278,498240,0,,['hemH'],,1,13.035372490698876
278,aes,498237,499196,1,,['aes'],,1,12.380395815427146
279,gsk,499348,500652,0,,['gsk'],,1,6.437511517438766
280,ybaL,500785,502461,1,,['ybaL'],,1,87.6659419542623
281,fsr,502699,503919,1,,['fsr'],,1,11.705351943119611
282,ushA,504106,505789,0,ushA - ,['ushA'],['ushA-'],1,3.7340906184425515
283,ybaK,505826,506439,1,ybaK-,['ybaK'],['ybaK-'],1,6.839071446636826
284,micM,506427,506510,0,,['micM'],,1,7.822864578870263
